date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
11/3/21,2022,0,,PHI,CHI,1625.721672,1541.62637,0.742640424,0.257359576,1628.878951,1538.469091,,,,,,,1620.607572,1529.143864,0.744179922,0.255820078,103,98,78,23,51
11/3/21,2022,0,,BRK,ATL,1573.112107,1562.656406,0.653811153,0.346188847,1579.304413,1556.4641,,,,,,,1585.812213,1593.530855,0.625967365,0.374032635,117,108,83,33,58
11/3/21,2022,0,,MIN,LAC,1420.241152,1580.658996,0.413917699,0.586082301,1411.545836,1589.354312,,,,,,,1497.402834,1579.95854,0.538135285,0.461864715,115,126,66,54,60
11/3/21,2022,0,,MEM,DEN,1533.021943,1575.268762,0.582356361,0.417643639,1536.8797,1571.411006,,,,,,,1533.792891,1598.939682,0.541968114,0.458031886,108,106,76,29,53
11/3/21,2022,0,,SAS,DAL,1473.526776,1520.069042,0.576330462,0.423669538,1468.659676,1524.936142,,,,,,,1440.545131,1567.604617,0.518065833,0.481934167,108,109,51,39,45
11/3/21,2022,0,,SAC,NOP,1460.014201,1441.643177,0.664050732,0.335949268,1467.534664,1434.122714,,,,,,,1463.286139,1469.388687,0.622724788,0.377275212,112,99,36,53,45
11/3/21,2022,0,,GSW,CHO,1557.247732,1471.382537,0.744582856,0.255417144,1565.034677,1463.595591,,,,,,,1534.979921,1491.080788,0.70391009,0.29608991,114,92,56,43,50
11/4/21,2022,0,,DET,PHI,1351.402108,1628.878951,0.264708298,0.735291702,1346.297297,1633.983762,,,,,,,1351.624254,1637.098491,0.314256618,0.685743382,98,109,43,2,23
11/4/21,2022,0,,ATL,UTA,1556.4641,1648.554008,0.511381571,0.488618429,1540.787704,1664.230404,,,,,,,1593.934333,1657.054135,0.495971078,0.504028922,98,116,90,19,55
11/4/21,2022,0,,MIA,BOS,1607.536478,1465.92852,0.800721078,0.199278922,1578.459143,1495.005854,,,,,,,1604.166999,1564.285908,0.729998449,0.270001551,78,95,81,30,56
11/4/21,2022,0,,PHO,HOU,1615.77099,1327.163721,0.903523552,0.096476448,1617.483757,1325.450954,,,,,,,1619.027981,1314.221919,0.913269637,0.086730363,123,111,30,1,16
11/4/21,2022,0,,LAL,OKC,1531.393592,1295.158136,0.8738599,0.1261401,1518.027413,1308.524315,,,,,,,1369.235108,1296.365951,0.723651747,0.276348253,104,107,3,13,8
11/5/21,2022,0,,ORL,SAS,1332.012621,1468.659676,0.447455371,0.552544629,1321.359791,1479.312507,,,,,,,1355.355463,1442.519144,0.517757087,0.482242913,89,102,14,10,12
11/5/21,2022,0,,WAS,MEM,1512.049298,1536.8797,0.606520842,0.393479158,1527.48827,1521.440728,,,,,,,1520.144877,1537.767741,0.612660444,0.387339556,115,87,63,52,58
11/5/21,2022,0,,DET,BRK,1346.297297,1579.304413,0.317420739,0.682579261,1341.860356,1583.741354,,,,,,,1356.851076,1589.196088,0.267946998,0.732053002,90,96,36,7,22
11/5/21,2022,0,,TOR,CLE,1506.81851,1418.522046,0.747235388,0.252764612,1499.706687,1425.633868,,,,,,,1517.633183,1363.184549,0.80653253,0.19346747,101,102,26,16,21
11/5/21,2022,0,,MIL,NYK,1610.113499,1538.515385,0.728652796,0.271347204,1587.371075,1561.257808,,,,,,,1585.655837,1560.917011,0.669097477,0.330902523,98,113,78,30,54
11/5/21,2022,0,,MIN,LAC,1411.545836,1589.354312,0.389859797,0.610140203,1399.522249,1601.377898,,,,,,,1500.653314,1584.75242,0.52257429,0.47742571,84,104,68,49,59
11/5/21,2022,0,,GSW,NOP,1565.034677,1434.122714,0.79071425,0.20928575,1574.75882,1424.398572,,,,,,,1542.869704,1470.114325,0.721955074,0.278044926,126,85,53,58,56
11/5/21,2022,0,,SAC,CHO,1467.534664,1463.595591,0.645272175,0.354727825,1481.856083,1449.274173,,,,,,,1470.983021,1486.981853,0.608963886,0.391036114,140,110,42,38,40
11/5/21,2022,0,,POR,IND,1570.701136,1480.323051,0.749491917,0.250508083,1573.450944,1477.573243,,,,,,,1592.725333,1544.56395,0.69145102,0.30854898,110,106,77,35,56
11/6/21,2022,0,,DEN,HOU,1571.411006,1325.450954,0.879902389,0.120097611,1572.1714,1324.69056,,,,,,,1594.704455,1328.474082,0.910674465,0.089325535,95,94,30,1,16
11/6/21,2022,0,,MIA,UTA,1578.459143,1664.230404,0.520465362,0.479534638,1583.760586,1658.928961,,,,,,,1576.541571,1634.544797,0.554394764,0.445605236,118,115,86,15,51
11/6/21,2022,0,,CHI,PHI,1538.469091,1633.983762,0.506454548,0.493545452,1528.5741,1643.878752,,,,,,,1528.766143,1612.706613,0.515761425,0.484238575,105,114,77,33,55
11/6/21,2022,0,,DAL,BOS,1524.936142,1495.005854,0.678729421,0.321270579,1528.190112,1491.751884,,,,,,,1571.486104,1576.386596,0.635261202,0.364738798,107,104,78,39,59
11/6/21,2022,0,,PHO,ATL,1617.483757,1540.787704,0.734415959,0.265584041,1620.427011,1537.84445,,,,,,,1625.933069,1581.826882,0.710293058,0.289706942,121,117,86,18,52
11/6/21,2022,0,,POR,LAL,1573.450944,1518.027413,0.709857026,0.290142974,1580.399612,1511.078745,,,,,,,1592.254046,1407.90666,0.795755364,0.204244636,105,90,48,35,42
11/7/21,2022,0,,TOR,BRK,1499.706687,1583.741354,0.522959804,0.477040196,1486.725462,1596.722579,,,,,,,1517.596207,1593.222998,0.52899421,0.47100579,103,116,72,54,63
